main_category,main_link,sub_category,sub_category_id,sub_category_link
Animals & Pets,https://example.com/c/animals_pets,Animal Health,animal_health,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/animal_health.json
Animals & Pets,https://example.com/c/animals_pets,Animal Parks & Zoo,animal_parks_zoo,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/animal_parks_zoo.json
Animals & Pets,https://example.com/c/animals_pets,Cats & Dogs,cats_dogs,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/cats_dogs.json
Animals & Pets,https://example.com/c/animals_pets,Horses & Riding,horses_riding,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/horses_riding.json
Animals & Pets,https://example.com/c/animals_pets,Pet Services,pet_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/pet_services.json
Animals & Pets,https://example.com/c/animals_pets,Pet Stores,pet_stores,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/pet_stores.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Cosmetics & Makeup,cosmetics_makeup,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/cosmetics_makeup.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Hair Care & Styling,hair_care_styling,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/hair_care_styling.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Personal Care,personal_care,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/personal_care.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Salons & Clinics,salons_clinics,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/salons_clinics.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Tattoos & Piercings,tattoos_piercings,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/tattoos_piercings.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Wellness & Spa,wellness_spa,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/wellness_spa.json
Beauty & Well-being,https://example.com/c/beauty_wellbeing,Yoga & Meditation,yoga_meditation,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/yoga_meditation.json
Business Services,https://example.com/c/business_services,Administration & Services,administration_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/administration_services.json
Business Services,https://example.com/c/business_services,Associations & Centers,associations_centers,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/associations_centers.json
Business Services,https://example.com/c/business_services,HR & Recruiting,hr_recruiting,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/hr_recruiting.json
Business Services,https://example.com/c/business_services,Import & Export,import_export,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/import_export.json
Business Services,https://example.com/c/business_services,IT & Communication,it_communication,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/it_communication.json
Business Services,https://example.com/c/business_services,Office Space & Supplies,office_space_supplies,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/office_space_supplies.json
Business Services,https://example.com/c/business_services,Print & Graphic Design,print_graphic_design,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/print_graphic_design.json
Business Services,https://example.com/c/business_services,Research & Development,research_development,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/research_development.json
Business Services,https://example.com/c/business_services,Sales & Marketing,sales_marketing,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/sales_marketing.json
Business Services,https://example.com/c/business_services,Shipping & Logistics,shipping_logistics,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/shipping_logistics.json
Business Services,https://example.com/c/business_services,Wholesale,wholesale,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/wholesale.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Architects & Engineers,architects_engineers,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/architects_engineers.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Building Materials,building_materials,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/building_materials.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Chemicals & Plastic,chemicals_plastic,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/chemicals_plastic.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Construction Services,construction_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/construction_services.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Contractors & Consultants,contractors_consultants,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/contractors_consultants.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Factory Equipment,factory_equipment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/factory_equipment.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Garden & Landscaping,garden_landscaping,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/garden_landscaping.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Industrial Supplies,industrial_supplies,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/industrial_supplies.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Manufacturing,manufacturing,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/manufacturing.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Production Services,production_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/production_services.json
Construction & Manufacturing,https://example.com/c/construction_manufactoring,Tools & Equipment,tools_equipment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/tools_equipment.json
Education & Training,https://example.com/c/education_training,Colleges & Universities,colleges_universities,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/colleges_universities.json
Education & Training,https://example.com/c/education_training,Courses & Classes,courses_classes,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/courses_classes.json
Education & Training,https://example.com/c/education_training,Education Services,education_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/education_services.json
Education & Training,https://example.com/c/education_training,Language Learning,language_learning,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/language_learning.json
Education & Training,https://example.com/c/education_training,Music & Theater Classes,music_theater_classes,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/music_theater_classes.json
Education & Training,https://example.com/c/education_training,School & High School,school_high_school,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/school_high_school.json
Education & Training,https://example.com/c/education_training,Specials Schools,specials_schools,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/specials_schools.json
Education & Training,https://example.com/c/education_training,Vocational Training,vocational_training,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/vocational_training.json
Electronics & Technology,https://example.com/c/electronics_technology,Appliances & Electronics,appliances_electronics,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/appliances_electronics.json
Electronics & Technology,https://example.com/c/electronics_technology,Audio & Visual,audio_visual,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/audio_visual.json
Electronics & Technology,https://example.com/c/electronics_technology,Computers & Phones,computers_phones,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/computers_phones.json
Electronics & Technology,https://example.com/c/electronics_technology,Internet & Software,internet_software,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/internet_software.json
Electronics & Technology,https://example.com/c/electronics_technology,Repair & Services,repair_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/repair_services.json
Events & Entertainment,https://example.com/c/events_entertainment,Adult Entertainment,adult_entertainment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/adult_entertainment.json
Events & Entertainment,https://example.com/c/events_entertainment,Children's Entertainment,childrens_entertainment,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/childrens_entertainment.json
Events & Entertainment,https://example.com/c/events_entertainment,Clubbing & Nightlife,clubbing_nightlife,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/clubbing_nightlife.json
Events & Entertainment,https://example.com/c/events_entertainment,Events & Venues,events_venues,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/events_venues.json
Events & Entertainment,https://example.com/c/events_entertainment,Gambling,gambling,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/gambling.json
Events & Entertainment,https://example.com/c/events_entertainment,Gaming,gaming,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/gaming.json
Events & Entertainment,https://example.com/c/events_entertainment,Museums & Exhibits,museums_exibits,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/museums_exibits.json
Events & Entertainment,https://example.com/c/events_entertainment,Music & Movies,music_movies,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/music_movies.json
Events & Entertainment,https://example.com/c/events_entertainment,Theater & Opera,theater_opera,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/theater_opera.json
Events & Entertainment,https://example.com/c/events_entertainment,Wedding & Party,wedding_party,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/wedding_party.json
