main_category,sub_category,businessName,reviewPageName,stars,trustScore,numberOfReviews,logoUrl,address,city,zipCode,country,website,email,phone,category_data
Animals & Pets,Animal Health,Bluegrass Hemp Oil,bluegrasshempoil.com,5,4.9,1337,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/615340c7302c6b001de865ce/198x149.png,190 Lexington Green Circle,Lexington,40503,United States,https://bluegrasshempoil.com/,info@bluegrasshempoil.com,(859) 963-3550,"{'category_1_name': 'Health and Beauty Shop', 'category_2_name': 'Animal Hospital', 'category_3_name': 'Cannabis store', 'category_4_name': 'Natural Foods Store', 'category_5_name': 'Vitamin and Supplements Store', 'category_6_name': 'Homeopath'}"
Animals & Pets,Animal Health,Vetpetni,vetpetni.co.uk,5,4.8,2433,//s3-eu-west-1.amazonaws.com/tpd/screenshots/5da0abed5cd86d000153ccbd/198x149.png,,,,United States,http://vetpetni.co.uk,,,"{'category_1_name': 'Pet Store', 'category_2_name': 'Animal Feed Store', 'category_3_name': 'Pet Supply Store', 'category_4_name': 'Veterinarian'}"
Animals & Pets,Animal Health,CUDDLY,cuddly.com,5,4.8,2017,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5f0f5f80aebf0c0001df790e/198x149.png,909 Electric Ave,Seal Beach,90740,United States,http://cuddly.com,support@cuddly.com,8667314862,"{'category_1_name': 'Charity', 'category_2_name': 'Pet Adoption Service', 'category_3_name': 'Non-Bank Financial Service', 'category_4_name': 'Animal Rescue Service'}"
Animals & Pets,Animal Health,whiskerDocs,whiskerdocs.com,5,4.8,111,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d14f3399646e20001aef862/198x149.png,Remote,Anywhere in the US & Canada,,United States,http://whiskerdocs.com,help@whiskerDocs.com,855-698-3824,"{'category_1_name': 'Telephone Answering Service', 'category_2_name': 'Emergency Veterinarian Service', 'category_3_name': 'Veterinarian'}"
Animals & Pets,Animal Health,Spot Pet Insurance,spotpet.com,4.5,4.7,7972,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/62e828a015be0d5057f853c0/198x149.png,990 Biscayne Blvd,Miami,33132,United States,https://spotpet.com,,1-800-905-1595,"{'category_1_name': 'Emergency Veterinarian Service', 'category_2_name': 'Pet Insurance Company', 'category_3_name': 'Insurance Company', 'category_4_name': 'Veterinarian', 'category_5_name': 'Pet-Friendly Accommodation'}"
Animals & Pets,Animal Health,Beemzy,beemzy.com,4.5,4.7,125,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/66e0a76781c246c8ed259dbd/198x149.png,16192 Coastal Highway,Lewes,19958,United States,https://beemzy.com,support@beemzy.com,+32 466 90 37 36,"{'category_1_name': 'Animal Feed Store', 'category_2_name': 'Animal Hospital', 'category_3_name': 'Veterinarian', 'category_4_name': 'Veterinary Pharmacy', 'category_5_name': 'Pet Supply Store', 'category_6_name': 'Pet Store'}"
Animals & Pets,Animal Health,Askanexpertonline.com,askanexpertonline.com,4.5,4.6,1513,//s3-eu-west-1.amazonaws.com/tpd/screenshots/637c0e2fa91d67b71bb06791/198x149.png,,,,United States,http://askanexpertonline.com,SupportTP@justanswer.com,(800) 805-5962,"{'category_1_name': 'Mechanic', 'category_2_name': 'General Contractor', 'category_3_name': 'Veterinarian', 'category_4_name': 'Legal Services', 'category_5_name': 'Information Service', 'category_6_name': 'Tax Advisor'}"
Animals & Pets,Animal Health,Dutch,dutch.com,4.5,4.6,1465,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/60dd400a981ebe0001dc9cc9/198x149.png,,,,United States,https://www.dutch.com,care@dutch.com,,"{'category_1_name': 'Pet Insurance Company', 'category_2_name': 'Emergency Veterinarian Service', 'category_3_name': 'Veterinarian', 'category_4_name': 'Veterinary Pharmacy', 'category_5_name': 'Animal Hospital'}"
Animals & Pets,Animal Health,Paw Print Genetics,pawprintgenetics.com,4.5,4.3,4159,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/598213bf0000ff0005a7fd2e/198x149.png,220 East Rowan Suite 220,Spokane,99207,United States,http://pawprintgenetics.com,AskUs@pawprintgenetics.com,509.483.5950,"{'category_1_name': 'Veterinarian', 'category_2_name': 'Pharmacy'}"
Animals & Pets,Animal Health,Wisdom Panel,wisdompanel.com,4.5,4.3,739,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5c6b1a4c1575a50001b6a364/198x149.png,Southeast 6th Way 18101,Vancouver,98683,United States,http://wisdompanel.com/en-gb,,,"{'category_1_name': 'Pet Supply Store', 'category_2_name': 'Veterinarian', 'category_3_name': 'Pet Store'}"
Animals & Pets,Animal Health,Fauneo,fauneo.fr,4.5,4.3,42,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/6749975e3ba83701e774a82b/198x149.png,"504, 166 Geary St STE 1500",San Francisco,94108,United States,http://fauneo.fr,support@fauneo.fr,+13025548304,"{'category_1_name': 'Animal Rescue Service', 'category_2_name': 'Jewelry Store'}"
Animals & Pets,Animal Health,My CatScan,mycatscan.com,4,4.2,168,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5dfec7a10f8ee600014e06ce/198x149.png,10220 N Nevada St; Suite 300,Spokane,99218,United States,http://mycatscan.com,contactus@mycatscan.com,5094835950,"{'category_1_name': 'Cattery', 'category_2_name': 'Veterinarian'}"
Animals & Pets,Animal Health,Pawp,pawp.com,3,2.8,865,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5fb3e3de9ea1aa000102f6ad/198x149.png,10 Grand Street,Brooklyn,11249,United States,http://pawp.com,support@pawp.com,,"{'category_1_name': 'Pet Insurance Company', 'category_2_name': 'Emergency Veterinarian Service'}"
Animals & Pets,Animal Health,Ocean County Veterinary Hospital ,ocvh.com,5,4.9,1249,//s3-eu-west-1.amazonaws.com/tpd/screenshots/51f3893800006400056b893b/198x149.png,838 River Avenue,Lakewood,08701,United States,http://ocvh.com,,732-363-7202,"{'category_1_name': 'Veterinarian', 'category_2_name': 'Pharmacy'}"
Animals & Pets,Animal Health,OriginalUdderBalm.com,originaludderbalm.com,5,4.8,56,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/61b7bb338c78c0029e82ff04/198x149.png,PO Box 65272,WEST DES MOINES,50265,United States,https://www.originaludderbalm.com,orders@originaludderbalm.com,(515) 255-1295,"{'category_1_name': 'Animal Watering Hole', 'category_2_name': 'Cosmetic Products Manufacturer', 'category_3_name': 'Beauty Product Supplier', 'category_4_name': 'Cosmetics Industry'}"
Animals & Pets,Animal Health,Animal Surgical Center,asc.vet,5,4.8,54,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/66a18c214bade719bbb23e81/198x149.png,"529 Atlantic Ave,",Oceanside,11572,United States,https://asc.vet,oceanside@asc.vet,(516) 543-6880,{'category_1_name': 'Animal Hospital'}
Animals & Pets,Animal Health,Monterey Animal Clinic,montereyanimalclinic.com,5,4.8,42,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5cb3b8d78b0a0f00014c3f29/198x149.png,2251 S Kanner Hwy,"Stuart, FL",34994,United States,http://montereyanimalclinic.com,info@montereyanimalclinic.com,772-283-3756,"{'category_1_name': 'Pharmacy', 'category_2_name': 'Veterinarian'}"
Animals & Pets,Animal Health,PawMaw,pawmaw.com,4.5,4.7,34,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5cc46fabc826560001cf5772/198x149.png,,,,United States,https://www.pawmaw.com/,Info@PawMaw.com,,"{'category_1_name': 'Animal Rescue Service', 'category_2_name': 'Pet Store', 'category_3_name': 'Wildlife Rescue Service'}"
Animals & Pets,Animal Health,Bivvy Pet Insurance,bivvy.com,4.5,4.6,3864,//s3-eu-west-1.amazonaws.com/tpd/screenshotlogo-domain/5d15337f4d01c600010ef2bc/198x149.png,5910 Mineral Point Road,Madison,53705,United States,https://bivvy.com,team@bivvy.com,(855) 434-3744,"{'category_1_name': 'Insurance Company', 'category_2_name': 'Emergency Veterinarian Service', 'category_3_name': 'Pet Insurance Company', 'category_4_name': 'Animal Shelter', 'category_5_name': 'Pet-Friendly Accommodation', 'category_6_name': 'Animal Rescue Service'}"
